"","V1","V2","V3","V4","V5"
"1",0.0640041837415318,0.0941746351895526,0.0797605332978159,0.0743298260282596,0.0941406645624202
"2",0.0746793622411435,0.0784367925466055,0.0779518272785141,0.0485207641063601,0.0246622696684636
"3",-0.0823646766395298,-0.0595586532646339,-0.0730222406971587,-0.0207691241225698,0.045803504235217
"4",0.210373044122593,0.247907923643739,0.232543307292791,0.169428776179089,0.142477824889623
"5",-0.118005163682757,-0.0969923619168673,-0.110224501224567,-0.0439255037777171,0.0340335148272038
"6",0.24601353116582,0.285341632295972,0.269745567820199,0.192585155834236,0.154247814297637
"7",20,40,60,90,120
"8",-20,-40,-60,-90,-120
"9",0.0567110592145496,0.10450657626305,0.142661136751663,0.210371327993036,0.246781964738121
